experiment,window,grid_limit_kw,seed,reference,policy,hours,request_different_hours,execution_different_hours,protection_collapsed_hours,adjusted_loss_difference_eur,ens_difference_kwh
main,winter,2.5,42,stochastic,cvar_0.5,168,21,18,3,1.5788452134487017,0.16191615513393076
main,winter,2.5,42,deterministic,stochastic,168,66,53,13,-13.415504256876673,-1.372291689918157
main,spring,2.5,42,stochastic,cvar_0.5,168,69,69,0,1.0174136576062622,0.10078125000000064
main,spring,2.5,42,deterministic,stochastic,168,112,112,0,-2.8618547994067995,-0.1379603794642848
main,summer,2.5,42,stochastic,cvar_0.5,168,52,51,1,0.131022072737494,1.2212453270876722e-15
main,summer,2.5,42,deterministic,stochastic,168,111,110,1,-9.407405210006381,-0.7304941348121318
main,autumn,2.5,42,stochastic,cvar_0.5,168,29,23,6,0.8757517468015266,0.07434797014508909
main,autumn,2.5,42,deterministic,stochastic,168,98,86,12,-21.692730879397246,-2.151874441964288
grid_capacity,winter,2.0,42,stochastic,cvar_0.5,24,10,5,5,1.4210854715202004e-14,0.0
grid_capacity,winter,2.0,42,deterministic,stochastic,24,13,8,5,-3.3750533511497878,-0.3449206513904395
grid_capacity,winter,3.0,42,stochastic,cvar_0.5,24,2,2,0,-0.00010755092076131234,0.0
grid_capacity,winter,3.0,42,deterministic,stochastic,24,9,6,3,-5.496384393843812e-05,-4.440892098500626e-16
seed_repeat,winter,2.5,7,stochastic,cvar_0.5,24,4,4,0,-0.0020038434709679365,1.3322676295501878e-15
seed_repeat,winter,2.5,7,deterministic,stochastic,24,9,8,1,-3.3614583121880077,-0.3440034412202384
seed_repeat,winter,2.5,99,stochastic,cvar_0.5,24,3,3,0,7.105427357601002e-15,4.440892098500626e-16
seed_repeat,winter,2.5,99,deterministic,stochastic,24,10,9,1,-3.4480981571553286,-0.35265299479166673
stress,winter,2.5,42,stochastic,cvar_0.5,48,9,6,3,-0.012537229701454322,-4.440892098500626e-16
stress,winter,2.5,42,deterministic,stochastic,48,20,14,6,0.03196180878929766,4.440892098500626e-16
pure_cvar_ties,winter,2.5,42,stochastic,cvar_0.5,24,5,5,0,7.105427357601002e-15,4.440892098500626e-16
pure_cvar_ties,winter,2.5,42,cvar_1_raw,cvar_1,24,7,7,0,0.0,0.0
grid_capacity,summer,2.0,42,stochastic,cvar_0.5,24,9,7,2,0.027927900296548458,0.0
grid_capacity,summer,2.0,42,deterministic,stochastic,24,16,15,1,1.720613462114759,0.1727842814127584
grid_capacity,summer,3.0,42,stochastic,cvar_0.5,24,7,7,0,-0.02309907618617757,-4.440892098500626e-16
grid_capacity,summer,3.0,42,deterministic,stochastic,24,18,18,0,-0.2616871724003804,0.0
seed_repeat,summer,2.5,7,stochastic,cvar_0.5,24,8,8,0,0.00634729091405184,0.0
seed_repeat,summer,2.5,7,deterministic,stochastic,24,17,17,0,-0.25612604487751334,0.0
seed_repeat,summer,2.5,99,stochastic,cvar_0.5,24,6,6,0,0.031643743502786315,0.0
seed_repeat,summer,2.5,99,deterministic,stochastic,24,15,15,0,-0.1511112352244357,0.0
stress,summer,2.5,42,stochastic,cvar_0.5,48,24,11,13,-7.5759212842869275,-0.7668857421874997
stress,summer,2.5,42,deterministic,stochastic,48,35,24,11,9.830153203241252,0.9895856381370898
pure_cvar_ties,summer,2.5,42,stochastic,cvar_0.5,24,8,8,0,-0.022615745728843173,0.0
pure_cvar_ties,summer,2.5,42,cvar_1_raw,cvar_1,24,7,7,0,-3.113548520339293e-05,0.0
