experiment,window,grid_limit_kw,seed,forecast_lead_hours,population,sample_count,mae_kw,bias_forecast_minus_actual_kw,rmse_kw,p10_p90_coverage,ensemble_range_coverage,below_ensemble_min_fraction,mean_p10_p90_width_kw
main,winter,2.5,42,0,all_hours,168,0.1621970455662734,0.1491839350486288,0.3336207135666682,0.8869047619047619,0.9702380952380952,0.023809523809523808,0.3540155319940476
main,winter,2.5,42,0,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.7738095238095238,0.9404761904761905,0.047619047619047616,0.7080310639880952
main,winter,2.5,42,1,all_hours,168,0.1621970455662734,0.1491839350486288,0.33362071356666817,0.9047619047619048,0.9523809523809523,0.03571428571428571,0.3582066127232143
main,winter,2.5,42,1,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.8095238095238095,0.9047619047619048,0.07142857142857142,0.7164132254464286
main,winter,2.5,42,2,all_hours,168,0.16219704556627337,0.1491839350486288,0.3336207135666682,0.9047619047619048,0.9583333333333334,0.03571428571428571,0.3674283189838435
main,winter,2.5,42,2,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.8095238095238095,0.9166666666666666,0.07142857142857142,0.7348566379676871
main,winter,2.5,42,3,all_hours,168,0.1621970455662734,0.1491839350486288,0.3336207135666682,0.8928571428571429,0.9642857142857143,0.02976190476190476,0.3581800395939626
main,winter,2.5,42,3,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.7857142857142857,0.9285714285714286,0.05952380952380952,0.7163600791879252
main,winter,2.5,42,4,all_hours,168,0.1621970455662734,0.1491839350486288,0.3336207135666682,0.9107142857142857,0.9642857142857143,0.02976190476190476,0.37159822425063777
main,winter,2.5,42,4,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.8214285714285714,0.9285714285714286,0.05952380952380952,0.7431964485012755
main,winter,2.5,42,5,all_hours,168,0.1621970455662734,0.1491839350486288,0.3336207135666682,0.8988095238095238,0.9523809523809523,0.03571428571428571,0.38003394717261907
main,winter,2.5,42,5,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.7976190476190477,0.9047619047619048,0.07142857142857142,0.7600678943452381
main,winter,2.5,42,6,all_hours,168,0.16219704556627337,0.1491839350486288,0.3336207135666682,0.8988095238095238,0.9642857142857143,0.02976190476190476,0.3566657864317602
main,winter,2.5,42,6,daylight_proxy,84,0.3243940911325468,0.2983678700972577,0.47181093781457184,0.7976190476190477,0.9285714285714286,0.05952380952380952,0.7133315728635206
