experiment,window,grid_limit_kw,seed,reference,policy,hours,request_different_hours,execution_different_hours,protection_collapsed_hours,adjusted_loss_difference_eur,ens_difference_kwh
sampled_28d,winter,2.5,42,stochastic,cvar_0.5,168,21,18,3,1.5788452134487017,0.16191615513393076
sampled_28d,winter,2.5,42,deterministic,stochastic,168,66,53,13,-13.415504256876673,-1.372291689918157
sampled_28d,spring,2.5,42,stochastic,cvar_0.5,168,69,69,0,1.0174136576062622,0.10078125000000064
sampled_28d,spring,2.5,42,deterministic,stochastic,168,112,112,0,-2.8618547994067995,-0.1379603794642848
sampled_28d,summer,2.5,42,stochastic,cvar_0.5,168,52,51,1,0.131022072737494,1.2212453270876722e-15
sampled_28d,summer,2.5,42,deterministic,stochastic,168,111,110,1,-9.407405210006381,-0.7304941348121318
sampled_28d,autumn,2.5,42,stochastic,cvar_0.5,168,29,23,6,0.8757517468015266,0.07434797014508909
sampled_28d,autumn,2.5,42,deterministic,stochastic,168,98,86,12,-21.692730879397246,-2.151874441964288
all_matching_28d,winter,2.5,42,stochastic,cvar_0.5,168,19,16,3,2.967089513829734,0.3034983607700883
all_matching_28d,winter,2.5,42,deterministic,stochastic,168,64,51,13,-14.400837660611444,-1.4727023693266386
all_matching_28d,spring,2.5,42,stochastic,cvar_0.5,168,81,81,0,-0.2126292623465531,-0.020786830357143588
all_matching_28d,spring,2.5,42,deterministic,stochastic,168,122,122,0,-2.147684842660361,-0.11717354910714166
all_matching_28d,summer,2.5,42,stochastic,cvar_0.5,168,58,56,2,1.0298741701318264,0.10086704799106933
all_matching_28d,summer,2.5,42,deterministic,stochastic,168,113,110,3,-7.088102544765576,-0.575786406017488
all_matching_28d,autumn,2.5,42,stochastic,cvar_0.5,168,21,19,2,0.5981103731680264,0.05967982700892893
all_matching_28d,autumn,2.5,42,deterministic,stochastic,168,102,89,13,-21.52032270456145,-2.163185651506699
planned_48h,winter,2.5,42,stochastic,cvar_0.5,48,8,8,0,-0.003125958077539792,2.6645352591003757e-15
planned_48h,winter,2.5,42,deterministic,stochastic,48,21,19,2,-4.104937600164657,-0.4202400716145848
planned_48h,summer,2.5,42,stochastic,cvar_0.5,48,11,10,1,-0.022615745728842285,-1.1102230246251565e-16
planned_48h,summer,2.5,42,deterministic,stochastic,48,32,31,1,-7.218889666208902,-0.7304941348121313
deficit_discharge_48h,winter,2.5,42,stochastic,cvar_0.5,48,8,8,0,-0.003125958077539792,2.6645352591003757e-15
deficit_discharge_48h,winter,2.5,42,deterministic,stochastic,48,20,14,6,-0.02450400866894853,-0.0032316080729172443
deficit_discharge_48h,summer,2.5,42,stochastic,cvar_0.5,48,10,8,2,-0.022615745728845837,0.0
deficit_discharge_48h,summer,2.5,42,deterministic,stochastic,48,34,30,4,-7.218889666208899,-0.730494134812131
