window,issue_utc_hour,candidate_count,first_origin,last_origin,freeze_time
winter,0,29,2016-12-02 00:00:00+00:00,2016-12-30 00:00:00+00:00,2017-01-01 00:00:00+00:00
winter,1,29,2016-12-02 01:00:00+00:00,2016-12-30 01:00:00+00:00,2017-01-01 00:00:00+00:00
winter,2,29,2016-12-02 02:00:00+00:00,2016-12-30 02:00:00+00:00,2017-01-01 00:00:00+00:00
winter,3,29,2016-12-02 03:00:00+00:00,2016-12-30 03:00:00+00:00,2017-01-01 00:00:00+00:00
winter,4,29,2016-12-02 04:00:00+00:00,2016-12-30 04:00:00+00:00,2017-01-01 00:00:00+00:00
winter,5,29,2016-12-02 05:00:00+00:00,2016-12-30 05:00:00+00:00,2017-01-01 00:00:00+00:00
winter,6,29,2016-12-02 06:00:00+00:00,2016-12-30 06:00:00+00:00,2017-01-01 00:00:00+00:00
winter,7,29,2016-12-02 07:00:00+00:00,2016-12-30 07:00:00+00:00,2017-01-01 00:00:00+00:00
winter,8,29,2016-12-02 08:00:00+00:00,2016-12-30 08:00:00+00:00,2017-01-01 00:00:00+00:00
winter,9,29,2016-12-02 09:00:00+00:00,2016-12-30 09:00:00+00:00,2017-01-01 00:00:00+00:00
winter,10,29,2016-12-02 10:00:00+00:00,2016-12-30 10:00:00+00:00,2017-01-01 00:00:00+00:00
winter,11,29,2016-12-02 11:00:00+00:00,2016-12-30 11:00:00+00:00,2017-01-01 00:00:00+00:00
winter,12,29,2016-12-02 12:00:00+00:00,2016-12-30 12:00:00+00:00,2017-01-01 00:00:00+00:00
winter,13,29,2016-12-02 13:00:00+00:00,2016-12-30 13:00:00+00:00,2017-01-01 00:00:00+00:00
winter,14,29,2016-12-02 14:00:00+00:00,2016-12-30 14:00:00+00:00,2017-01-01 00:00:00+00:00
winter,15,29,2016-12-02 15:00:00+00:00,2016-12-30 15:00:00+00:00,2017-01-01 00:00:00+00:00
winter,16,29,2016-12-02 16:00:00+00:00,2016-12-30 16:00:00+00:00,2017-01-01 00:00:00+00:00
winter,17,29,2016-12-02 17:00:00+00:00,2016-12-30 17:00:00+00:00,2017-01-01 00:00:00+00:00
winter,18,29,2016-12-02 18:00:00+00:00,2016-12-30 18:00:00+00:00,2017-01-01 00:00:00+00:00
winter,19,29,2016-12-02 19:00:00+00:00,2016-12-30 19:00:00+00:00,2017-01-01 00:00:00+00:00
winter,20,29,2016-12-02 20:00:00+00:00,2016-12-30 20:00:00+00:00,2017-01-01 00:00:00+00:00
winter,21,29,2016-12-02 21:00:00+00:00,2016-12-30 21:00:00+00:00,2017-01-01 00:00:00+00:00
winter,22,29,2016-12-02 22:00:00+00:00,2016-12-30 22:00:00+00:00,2017-01-01 00:00:00+00:00
winter,23,29,2016-12-02 23:00:00+00:00,2016-12-30 23:00:00+00:00,2017-01-01 00:00:00+00:00
spring,0,29,2017-03-02 00:00:00+00:00,2017-03-30 00:00:00+00:00,2017-04-01 00:00:00+00:00
