experiment,policy,hours,total_actual_expense_eur,total_grid_cost_eur,total_battery_cost_eur,total_shortage_cost_eur,total_inventory_adjustment_eur,total_loss_eur,total_ens_kwh,total_curtailment_kwh,total_throughput_kwh,total_emergency_discharge_kwh,total_solve_seconds,total_original_solve_seconds,total_grid_import_kwh,hours_with_emergency_discharge,min_scenario_candidate_count,max_scenario_candidate_count,mean_scenario_candidate_count,min_scenario_count,max_scenario_count,mean_scenario_count,min_scenario_unique_path_count,max_scenario_unique_path_count,mean_scenario_unique_path_count,min_scenario_tail_equivalent_count,max_scenario_tail_equivalent_count,mean_scenario_tail_equivalent_count,hour_adjusted_loss_mean,hour_adjusted_loss_var,hour_adjusted_loss_cvar,hour_adjusted_loss_sample_count,hour_adjusted_loss_tail_equivalent_count,hour_ens_mean,hour_ens_var,hour_ens_cvar,hour_ens_sample_count,hour_ens_tail_equivalent_count,utc_day_adjusted_loss_mean,utc_day_adjusted_loss_var,utc_day_adjusted_loss_cvar,utc_day_adjusted_loss_sample_count,utc_day_adjusted_loss_tail_equivalent_count,utc_day_ens_mean,utc_day_ens_var,utc_day_ens_cvar,utc_day_ens_sample_count,utc_day_ens_tail_equivalent_count
sampled_28d,perfect_foresight,672,221.85817229703173,219.17051302750593,2.6876592695257937,8.451017663446692e-12,2.6918999999999973,224.55007229704017,8.451017663446692e-13,1.3322676295501878e-15,268.7659269525823,0.0,0.0,0.8470227001234889,1268.768346874458,0,,,,,,,,,,,,,0.3341518932991669,0.5897631578947368,0.6180485014530656,672,67.19999999999999,1.257591914203377e-15,0.0,1.2575919142033771e-14,672,67.19999999999999,8.019645439180007,10.214543297697368,10.506181648624542,28,2.7999999999999994,3.0182205940881045e-14,2.220446049250313e-15,3.002360265164888e-13,28,2.7999999999999994
sampled_28d,deterministic,672,228.28951693529172,226.3029688902432,1.9865480450485058,63.56076979864227,2.6919000000000075,294.542186733934,6.356076979864225,46.98125348772321,198.65480450485342,0.0,0.0,25.0542362022679,1305.8004435196879,0,,,,1.0,1.0,1.0,,,,,,,0.4383068254969255,0.6337213199013157,1.4850615543982617,672,67.19999999999999,0.0094584478867027,0.0,0.0945844788670271,672,67.19999999999999,10.519363811926214,18.97044682576501,24.1998076798503,28,2.7999999999999994,0.2270027492808651,0.8899528401692741,1.4639353259858665,28,2.7999999999999994
sampled_28d,stochastic,672,224.83822825119327,221.79529649083887,3.042931760354355,19.63456333705363,2.69190000000001,247.1646915882469,1.963456333705363,14.908719308035714,304.29317603543836,0.0,194.7200280004181,0.0,1283.5343230080948,0,29.0,29.0,29.0,12.0,12.0,12.0,7.0,12.0,9.930059523809524,1.1999999999999995,1.1999999999999995,1.1999999999999995,0.3678046005777484,0.5897631578947368,0.8986934470278121,672,67.19999999999999,0.0029218100203948,0.0,0.0292181002039488,672,67.19999999999999,8.827310413865963,10.390338830397331,17.031963020850828,28,2.7999999999999994,0.0701234404894772,0.0556508091517859,0.6811460658482156,28,2.7999999999999994
sampled_28d,cvar_0.5,672,225.070807188997,222.06644865937378,3.004358529623203,23.005017089843857,2.69190000000001,250.7677242788409,2.3005017089843847,18.079278789077957,300.43585296232334,0.0,206.3690181003185,0.0,1286.1701556423054,0,29.0,29.0,29.0,12.0,12.0,12.0,7.0,12.0,9.930059523809524,1.1999999999999995,1.1999999999999995,1.1999999999999995,0.3731662563673227,0.5897631578947369,0.9453249315599896,672,67.19999999999999,0.0034233656383696,0.0,0.0342336563836962,672,67.19999999999999,8.955990152815746,10.390338830397338,17.59780295677637,28,2.7999999999999994,0.0821607753208708,0.129998779296875,0.760215541294644,28,2.7999999999999994
all_matching_28d,perfect_foresight,672,221.85817229703173,219.17051302750593,2.6876592695257937,8.451017663446692e-12,2.6918999999999973,224.55007229704017,8.451017663446692e-13,1.3322676295501878e-15,268.7659269525823,0.0,0.0,0.8470227001234889,1268.768346874458,0,,,,,,,,,,,,,0.3341518932991669,0.5897631578947368,0.6180485014530656,672,67.19999999999999,1.257591914203377e-15,0.0,1.2575919142033771e-14,672,67.19999999999999,8.019645439180007,10.214543297697368,10.506181648624542,28,2.7999999999999994,3.0182205940881045e-14,2.220446049250313e-15,3.002360265164888e-13,28,2.7999999999999994
all_matching_28d,deterministic,672,228.28951693529172,226.3029688902432,1.9865480450485058,63.56076979864227,2.6919000000000075,294.542186733934,6.356076979864225,46.98125348772321,198.65480450485342,0.0,0.0,25.0542362022679,1305.8004435196879,0,,,,1.0,1.0,1.0,,,,,,,0.4383068254969255,0.6337213199013157,1.4850615543982617,672,67.19999999999999,0.0094584478867027,0.0,0.0945844788670271,672,67.19999999999999,10.519363811926214,18.97044682576501,24.1998076798503,28,2.7999999999999994,0.2270027492808651,0.8899528401692741,1.4639353259858665,28,2.7999999999999994
all_matching_28d,stochastic,672,226.4210489422726,223.95516864263465,2.4658802996379037,20.27229003906258,2.6919000000000093,249.38523898133516,2.0272290039062577,25.818945312500006,246.58802996379342,0.0,641.6738675000379,0.0,1291.4234823912489,0,29.0,29.0,29.0,29.0,29.0,29.0,26.0,29.0,28.883928571428573,2.8999999999999995,2.8999999999999995,2.899999999999999,0.3711089865793678,0.5897631578947368,0.9100983913600562,672,67.19999999999999,0.0030167098272414,0.0,0.0301670982724145,672,67.19999999999999,8.906615677904826,10.390338830397337,17.229437085617572,28,2.7999999999999994,0.0724010358537949,0.0894567871093746,0.7101967200454411,28,2.7999999999999994
all_matching_28d,cvar_0.5,672,226.39812203680896,223.79348977650184,2.604632260307076,24.704874093192007,2.664687646117258,253.7676837761182,2.4704874093192,26.978642690195883,260.4632260307108,0.0,681.741247600643,0.0,1293.0019834553748,0,29.0,29.0,29.0,29.0,29.0,29.0,26.0,29.0,28.883928571428573,2.8999999999999995,2.8999999999999995,2.899999999999999,0.3776304818096997,0.5897631578947368,0.974733764671384,672,67.19999999999999,0.0036763205495821,0.0,0.0367632054958214,672,67.19999999999999,9.063131563432792,10.390338830397331,18.64255177324503,28,2.7999999999999994,0.0882316931899714,0.1491366141183022,0.8716643166055488,28,2.7999999999999994
planned_48h,perfect_foresight,96,36.076292452808495,35.805275786930835,0.2710166658776581,6.217248937900877e-14,1.3459500000000002,37.42224245280856,6.217248937900877e-15,0.0,27.10166658776618,0.0,0.1289188999217003,0.0,206.1610855330787,0,,,,,,,,,,,,,0.3898150255500892,0.6396315789473684,0.6396315789473684,96,9.599999999999998,6.47630097698008e-17,0.0,6.476300976980079e-16,96,9.599999999999998,9.35556061320214,10.387722549125693,10.387722549125693,4,0.3999999999999999,1.5543122344752194e-15,5.773159728050814e-15,5.773159728050815e-15,4,0.3999999999999999
planned_48h,deterministic,96,36.198097293247166,35.9426469106614,0.25545038258576186,13.101929117838594,1.345950000000001,50.64597641108576,1.3101929117838589,2.198016648065476,25.545038258576575,0.0,0.0,3.604890699731182,206.96913462436902,0,,,,1.0,1.0,1.0,,,,,,,0.5275622542821433,0.6396315789473684,1.851407234640293,96,9.599999999999998,0.0136478428310818,0.0032316080729177,0.1363234329223637,96,9.599999999999998,12.661494102771442,18.97044682576501,18.97044682576501,4,0.3999999999999999,0.3275482279459647,0.8899528401692741,0.8899528401692742,4,0.3999999999999999
