scale,metric,unit,alpha,mean,var,cvar,sample_count,tail_equivalent_count,excluded_partial_blocks,experiment,grid_limit_kw,seed,policy
hour,actual_expense,EUR/hour,0.9,0.3301460897277258,0.5045,0.5058437906901048,672,67.19999999999999,0,sampled_28d,2.5,42,perfect_foresight
hour,shortage_penalty,EUR/hour,0.9,1.2575919142033767e-14,0.0,1.257591914203377e-13,672,67.19999999999999,0,sampled_28d,2.5,42,perfect_foresight
hour,inventory_adjustment,EUR/hour,0.9,0.004005803571428567,0.1326315789472385,0.2410228546830941,672,67.19999999999999,0,sampled_28d,2.5,42,perfect_foresight
hour,adjusted_loss,EUR/hour,0.9,0.33415189329916695,0.5897631578947368,0.6180485014530656,672,67.19999999999999,0,sampled_28d,2.5,42,perfect_foresight
hour,ens,kWh/hour,0.9,1.2575919142033767e-15,0.0,1.257591914203377e-14,672,67.19999999999999,0,sampled_28d,2.5,42,perfect_foresight
utc_day,actual_expense,EUR/block,0.9,7.923506153465418,9.925015213815788,10.163290681537829,28,2.7999999999999994,0,sampled_28d,2.5,42,perfect_foresight
utc_day,shortage_penalty,EUR/block,0.9,3.018220594088104e-13,2.220446049250313e-14,3.0023602651648883e-12,28,2.7999999999999994,0,sampled_28d,2.5,42,perfect_foresight
utc_day,inventory_adjustment,EUR/block,0.9,0.09613928571428561,0.6101360711348687,0.6702888774671052,28,2.7999999999999994,0,sampled_28d,2.5,42,perfect_foresight
utc_day,adjusted_loss,EUR/block,0.9,8.019645439180007,10.214543297697368,10.506181648624542,28,2.7999999999999994,0,sampled_28d,2.5,42,perfect_foresight
utc_day,ens,kWh/block,0.9,3.018220594088104e-14,2.220446049250313e-15,3.002360265164888e-13,28,2.7999999999999994,0,sampled_28d,2.5,42,perfect_foresight
nonoverlapping_24h,actual_expense,EUR/block,0.9,7.923506153465418,9.925015213815788,10.163290681537829,28,2.7999999999999994,0,sampled_28d,2.5,42,perfect_foresight
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,3.018220594088104e-13,2.220446049250313e-14,3.0023602651648883e-12,28,2.7999999999999994,0,sampled_28d,2.5,42,perfect_foresight
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.09613928571428561,0.6101360711348687,0.6702888774671052,28,2.7999999999999994,0,sampled_28d,2.5,42,perfect_foresight
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,8.019645439180007,10.214543297697368,10.506181648624542,28,2.7999999999999994,0,sampled_28d,2.5,42,perfect_foresight
nonoverlapping_24h,ens,kWh/block,0.9,3.018220594088104e-14,2.220446049250313e-15,3.002360265164888e-13,28,2.7999999999999994,0,sampled_28d,2.5,42,perfect_foresight
hour,actual_expense,EUR/hour,0.9,0.3397165430584698,0.5045,0.505695290507968,672,67.19999999999999,0,sampled_28d,2.5,42,deterministic
hour,shortage_penalty,EUR/hour,0.9,0.09458447886702719,0.0,0.9458447886702721,672,67.19999999999999,0,sampled_28d,2.5,42,deterministic
hour,inventory_adjustment,EUR/hour,0.9,0.004005803571428583,0.0852631578947368,0.1648618807193416,672,67.19999999999999,0,sampled_28d,2.5,42,deterministic
hour,adjusted_loss,EUR/hour,0.9,0.43830682549692557,0.6337213199013157,1.4850615543982617,672,67.19999999999999,0,sampled_28d,2.5,42,deterministic
hour,ens,kWh/hour,0.9,0.009458447886702716,0.0,0.09458447886702719,672,67.19999999999999,0,sampled_28d,2.5,42,deterministic
utc_day,actual_expense,EUR/block,0.9,8.153197033403275,9.968660837950138,10.142929807721384,28,2.7999999999999994,0,sampled_28d,2.5,42,deterministic
utc_day,shortage_penalty,EUR/block,0.9,2.2700274928086523,8.899528401692741,14.639353259858664,28,2.7999999999999994,0,sampled_28d,2.5,42,deterministic
utc_day,inventory_adjustment,EUR/block,0.9,0.09613928571428598,0.6943499999999999,0.69435,28,2.7999999999999994,0,sampled_28d,2.5,42,deterministic
utc_day,adjusted_loss,EUR/block,0.9,10.519363811926214,18.97044682576501,24.1998076798503,28,2.7999999999999994,0,sampled_28d,2.5,42,deterministic
utc_day,ens,kWh/block,0.9,0.22700274928086514,0.8899528401692741,1.4639353259858663,28,2.7999999999999994,0,sampled_28d,2.5,42,deterministic
nonoverlapping_24h,actual_expense,EUR/block,0.9,8.153197033403275,9.968660837950138,10.142929807721384,28,2.7999999999999994,0,sampled_28d,2.5,42,deterministic
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,2.2700274928086523,8.899528401692741,14.639353259858664,28,2.7999999999999994,0,sampled_28d,2.5,42,deterministic
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.09613928571428598,0.6943499999999999,0.69435,28,2.7999999999999994,0,sampled_28d,2.5,42,deterministic
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,10.519363811926214,18.97044682576501,24.1998076798503,28,2.7999999999999994,0,sampled_28d,2.5,42,deterministic
nonoverlapping_24h,ens,kWh/block,0.9,0.22700274928086514,0.8899528401692741,1.4639353259858663,28,2.7999999999999994,0,sampled_28d,2.5,42,deterministic
hour,actual_expense,EUR/hour,0.9,0.3345806968023709,0.5045,0.5056425926571805,672,67.19999999999999,0,sampled_28d,2.5,42,stochastic
hour,shortage_penalty,EUR/hour,0.9,0.029218100203948855,0.0,0.29218100203948866,672,67.19999999999999,0,sampled_28d,2.5,42,stochastic
hour,inventory_adjustment,EUR/hour,0.9,0.004005803571428586,0.1326315789473683,0.2721587287091543,672,67.19999999999999,0,sampled_28d,2.5,42,stochastic
hour,adjusted_loss,EUR/hour,0.9,0.3678046005777484,0.5897631578947368,0.8986934470278121,672,67.19999999999999,0,sampled_28d,2.5,42,stochastic
hour,ens,kWh/hour,0.9,0.0029218100203948854,0.0,0.029218100203948855,672,67.19999999999999,0,sampled_28d,2.5,42,stochastic
utc_day,actual_expense,EUR/block,0.9,8.0299367232569,9.99481752024715,10.251230728473722,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
utc_day,shortage_penalty,EUR/block,0.9,0.7012344048947725,0.55650809151786,6.811460658482156,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
utc_day,inventory_adjustment,EUR/block,0.9,0.09613928571428605,0.6943499999999999,0.6943500000000001,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
utc_day,adjusted_loss,EUR/block,0.9,8.827310413865963,10.390338830397333,17.031963020850828,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
utc_day,ens,kWh/block,0.9,0.07012344048947726,0.0556508091517859,0.6811460658482156,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
nonoverlapping_24h,actual_expense,EUR/block,0.9,8.0299367232569,9.99481752024715,10.251230728473722,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,0.7012344048947725,0.55650809151786,6.811460658482156,28,2.7999999999999994,0,sampled_28d,2.5,42,stochastic
