experiment,grid_limit_kw,seed,policy,scale,tail_grid_cost_eur,tail_battery_cost_eur,tail_shortage_cost_eur,tail_inventory_adjustment_eur
sampled_28d,2.5,42,perfect_foresight,hour,0.498509025937035,0.0059927441551571765,0.0,0.11354673136087284
sampled_28d,2.5,42,perfect_foresight,utc_day,9.894967541180254,0.06963830783785019,0.0,0.5415757996064381
sampled_28d,2.5,42,deterministic,hour,0.4684528802279172,0.004342904404880218,0.9299791599887859,0.08228660977667818
sampled_28d,2.5,42,deterministic,utc_day,9.466368001302083,0.06355070440383039,14.639353259858662,0.03053571428571482
sampled_28d,2.5,42,stochastic,hour,0.4747502149724636,0.006680948877658962,0.29067588339046635,0.1265863997872226
sampled_28d,2.5,42,stochastic,utc_day,10.091161183686056,0.0746899191162883,6.652458346619912,0.21365357142857175
sampled_28d,2.5,42,cvar_0.5,hour,0.47367854309082036,0.006558005072146027,0.3408314451879399,0.12425693820908291
sampled_28d,2.5,42,cvar_0.5,utc_day,10.079948153552127,0.07347090255458552,7.2307303292410845,0.2136535714285717
all_matching_28d,2.5,42,perfect_foresight,hour,0.498509025937035,0.0059927441551571765,0.0,0.11354673136087284
all_matching_28d,2.5,42,perfect_foresight,utc_day,9.894967541180254,0.06963830783785019,0.0,0.5415757996064381
all_matching_28d,2.5,42,deterministic,hour,0.4684528802279172,0.004342904404880218,0.9299791599887859,0.08228660977667818
all_matching_28d,2.5,42,deterministic,utc_day,9.466368001302083,0.06355070440383039,14.639353259858662,0.03053571428571482
all_matching_28d,2.5,42,stochastic,hour,0.49130185611231797,0.005898268713918659,0.30114159616483377,0.11175667036898534
all_matching_28d,2.5,42,stochastic,utc_day,10.092119040906756,0.07728809314033018,6.846376380141914,0.21365357142857183
all_matching_28d,2.5,42,cvar_0.5,hour,0.4875211930047898,0.006021340797060994,0.367102668398903,0.11408856247062965
all_matching_28d,2.5,42,cvar_0.5,utc_day,10.064115896255705,0.0742437512718375,8.290538554288913,0.21365357142857186
planned_48h,2.5,42,perfect_foresight,hour,0.5,0.007,0.0,0.13263157894736843
planned_48h,2.5,42,perfect_foresight,utc_day,9.62784739655471,0.0655251525709826,0.0,0.6943499999999998
planned_48h,2.5,42,deterministic,hour,0.45182291666666663,0.003402457300821916,1.3317142486572306,0.06446761201557352
planned_48h,2.5,42,deterministic,utc_day,10.000293375651042,0.0706250484212225,8.899528401692741,6.973588373426765e-16
planned_48h,2.5,42,stochastic,hour,0.5,0.006708775111607135,0.1661028180803571,0.127113633693609
planned_48h,2.5,42,stochastic,utc_day,10.146734772271964,0.08798539020763123,1.594587053571428,5.238864897449957e-16
planned_48h,2.5,42,cvar_0.5,hour,0.5,0.006708775111607125,0.16610281808035757,0.127113633693609
planned_48h,2.5,42,cvar_0.5,utc_day,10.146734772271964,0.08798539020763123,1.594587053571428,5.516420653606247e-16
deficit_discharge_48h,2.5,42,perfect_foresight,hour,0.5,0.007,0.0,0.13263157894736843
deficit_discharge_48h,2.5,42,perfect_foresight,utc_day,9.62784739655471,0.0655251525709826,0.0,0.6943499999999998
deficit_discharge_48h,2.5,42,deterministic,hour,0.4895833333333333,0.006072965791490333,0.9270342085096608,0.11506672025981694
deficit_discharge_48h,2.5,42,deterministic,utc_day,10.000293375651042,0.0706250484212226,8.899528401692741,8.222589276130066e-16
deficit_discharge_48h,2.5,42,stochastic,hour,0.4895833333333333,0.006833897181919635,0.16610281808035757,0.12948436765742477
deficit_discharge_48h,2.5,42,stochastic,utc_day,10.146734772271964,0.08798539020763123,1.5945870535714324,5.377642775528102e-16
deficit_discharge_48h,2.5,42,cvar_0.5,hour,0.4895833333333333,0.006833897181919635,0.16610281808035757,0.12948436765742477
deficit_discharge_48h,2.5,42,cvar_0.5,utc_day,10.146734772271964,0.08798539020763123,1.5945870535714324,5.377642775528102e-16
