experiment,grid_limit_kw,seed,policy,scale,tail_grid_cost_eur,tail_battery_cost_eur,tail_shortage_cost_eur,tail_inventory_adjustment_eur
main,2.5,42,perfect_foresight,hour,0.498509025937035,0.0059927441551571765,0.0,0.11354673136087284
main,2.5,42,perfect_foresight,utc_day,9.894967541180254,0.06963830783785019,0.0,0.5415757996064381
main,2.5,42,deterministic,hour,0.4684528802279172,0.004342904404880218,0.9299791599887859,0.08228660977667818
main,2.5,42,deterministic,utc_day,9.466368001302083,0.06355070440383039,14.639353259858662,0.03053571428571482
main,2.5,42,stochastic,hour,0.4747502149724636,0.006680948877658962,0.29067588339046635,0.1265863997872226
main,2.5,42,stochastic,utc_day,10.091161183686056,0.0746899191162883,6.652458346619912,0.21365357142857175
main,2.5,42,cvar_0.5,hour,0.47367854309082036,0.006558005072146027,0.3408314451879399,0.12425693820908291
main,2.5,42,cvar_0.5,utc_day,10.079948153552127,0.07347090255458552,7.2307303292410845,0.2136535714285717
grid_capacity,2.0,42,perfect_foresight,hour,0.3866666666666667,0.0,12.000000000000002,0.0
grid_capacity,2.0,42,perfect_foresight,utc_day,8.35,0.0752027929687494,72.80697265625004,0.7199999999999998
grid_capacity,2.0,42,deterministic,hour,0.3866666666666667,0.0,12.000000000000002,0.0
grid_capacity,2.0,42,deterministic,utc_day,8.28311787923177,0.0679317509823748,76.25617917015444,0.7199999999999998
grid_capacity,2.0,42,stochastic,hour,0.3866666666666667,0.0,12.000000000000002,0.0
grid_capacity,2.0,42,stochastic,utc_day,8.35,0.0752027929687495,72.80697265625004,0.7199999999999998
grid_capacity,2.0,42,cvar_0.5,hour,0.3833333333333333,0.00035801757812498297,11.641982421875003,0.006783490953947343
grid_capacity,2.0,42,cvar_0.5,utc_day,8.35,0.0752027929687495,72.80697265625004,0.72
grid_capacity,3.0,42,perfect_foresight,hour,0.5733333333333335,0.003333333333333315,0.0,0.06315789473684208
grid_capacity,3.0,42,perfect_foresight,utc_day,9.592691046463813,0.1246052631578933,2.2648549702353198e-13,0.6088500000000001
grid_capacity,3.0,42,deterministic,hour,0.5768871229383683,0.0031556438530815404,1.8503717077085948e-15,0.05979114668996685
grid_capacity,3.0,42,deterministic,utc_day,9.595112742427357,0.1223578111722166,4.440892098500626e-15,0.6088500000000002
grid_capacity,3.0,42,stochastic,hour,0.5733333333333335,0.003333333333333294,9.251858538542974e-16,0.06315789473684204
grid_capacity,3.0,42,stochastic,utc_day,9.592810326597744,0.12460526315789383,0.0,0.6088500000000001
grid_capacity,3.0,42,cvar_0.5,hour,0.5747212239583335,0.0032639388020833156,0.0,0.06184305098684198
grid_capacity,3.0,42,cvar_0.5,utc_day,9.592854062646852,0.1244539761880278,0.0,0.6088500000000001
seed_repeat,2.5,7,perfect_foresight,hour,0.5,0.007,0.0,0.1326315789473684
seed_repeat,2.5,7,perfect_foresight,utc_day,9.62784739655471,0.0655251525709826,0.0,0.6943499999999998
seed_repeat,2.5,7,deterministic,hour,0.4661458333333333,0.0044918280707465195,0.7051934136284725,0.08510832134046054
seed_repeat,2.5,7,deterministic,utc_day,9.559465929420591,0.058091110215402,3.526529947916668,0.6943499999999999
seed_repeat,2.5,7,stochastic,hour,0.5,0.007,0.0,0.1326315789473684
seed_repeat,2.5,7,stochastic,utc_day,9.626592327859122,0.0695408117912475,0.0864955357142838,0.6943499999999999
seed_repeat,2.5,7,cvar_0.5,hour,0.5,0.006999999999999979,2.7755575615628917e-15,0.13263157894736832
seed_repeat,2.5,7,cvar_0.5,utc_day,9.627407199510907,0.0667220966684795,0.08649553571429712,0.6943499999999998
seed_repeat,2.5,99,perfect_foresight,hour,0.5,0.007,0.0,0.1326315789473684
seed_repeat,2.5,99,perfect_foresight,utc_day,9.62784739655471,0.0655251525709826,0.0,0.6943499999999998
seed_repeat,2.5,99,deterministic,hour,0.4661458333333333,0.0044918280707465195,0.7051934136284725,0.08510832134046054
seed_repeat,2.5,99,deterministic,utc_day,9.559465929420591,0.058091110215402,3.526529947916668,0.6943499999999999
seed_repeat,2.5,99,stochastic,hour,0.49999999999999994,0.007,0.0,0.13263157894736843
seed_repeat,2.5,99,stochastic,utc_day,9.62908439826437,0.066904432132963,0.0,0.6943500000000002
seed_repeat,2.5,99,cvar_0.5,hour,0.5,0.006999999999999979,9.251858538542974e-16,0.13263157894736838
seed_repeat,2.5,99,cvar_0.5,utc_day,9.62908439826437,0.066904432132963,4.440892098500626e-15,0.6943500000000001
stress,2.5,42,perfect_foresight,hour,0.5,0.007,0.0,0.13263157894736843
stress,2.5,42,perfect_foresight,utc_day,10.183231529172438,0.066628576220567,0.0,0.6943499999999999
stress,2.5,42,deterministic,hour,0.42708333333333337,0.0005158164402795104,3.4213987289913166,0.009773364131611948
stress,2.5,42,deterministic,utc_day,10.399069864908855,0.0532073368036169,22.487615298316634,0.025650000000000617
stress,2.5,42,stochastic,hour,0.44557291666666665,0.0004892734345935626,4.349186851864774,0.009270444023878034
stress,2.5,42,stochastic,utc_day,10.26725,0.037386059570312,29.99284667968753,0.025650000000000117
stress,2.5,42,cvar_0.5,hour,0.42864583333333334,4.523351760137501e-05,3.794406781877795,0.0008570561229734169
stress,2.5,42,cvar_0.5,utc_day,10.315776835180056,0.0431562035659404,27.25562988281253,0.025650000000000305
pure_cvar_ties,2.5,42,perfect_foresight,hour,0.5,0.007,0.0,0.1326315789473684
pure_cvar_ties,2.5,42,perfect_foresight,utc_day,9.62784739655471,0.0655251525709826,0.0,0.6943499999999998
pure_cvar_ties,2.5,42,stochastic,hour,0.49999999999999994,0.007,0.0,0.13263157894736843
pure_cvar_ties,2.5,42,stochastic,utc_day,9.62908439826437,0.066904432132963,0.0,0.6943500000000001
pure_cvar_ties,2.5,42,cvar_0.5,hour,0.5,0.006999999999999979,9.251858538542974e-16,0.13263157894736838
pure_cvar_ties,2.5,42,cvar_0.5,utc_day,9.62908439826437,0.066904432132963,4.440892098500626e-15,0.6943499999999999
pure_cvar_ties,2.5,42,cvar_1_raw,hour,0.49999999999999994,0.007,0.0,0.13263157894736843
pure_cvar_ties,2.5,42,cvar_1_raw,utc_day,9.62908439826437,0.066904432132963,4.440892098500626e-15,0.69435
pure_cvar_ties,2.5,42,cvar_1,hour,0.5,0.006999999999999979,9.251858538542974e-16,0.13263157894736838
pure_cvar_ties,2.5,42,cvar_1,utc_day,9.62908439826437,0.06690443213296281,4.440892098500626e-15,0.6943500000000001
